filename,title,abstract,abstractSource,publication,full_text_path,repository
Beyond Memorability Visualization Recognition and Recall.pdf,Beyond Memorability: Visualization Recognition and Recall,"In this paper we move beyond memorability and investigate how visualizations are recognized and recalled. For this study we labeled a dataset of 393 visualizations and analyzed the eye movements of 33 participants as well as thousands of participantgenerated text descriptions of the visualizations. This allowed us to determine what components of a visualization attract people’s attention, and what information is encoded into memory. Our ﬁndings quantitatively support many conventional qualitative design guidelines, including that (1) titles and supporting text should convey the message of a visualization, (2) if used appropriately, pictograms do not interfere with understanding and can improve recognition, and (3) redundancy helps effectively communicate the message. Importantly, we show that visualizations memorable “at-a-glance” are also capable of effectively conveying the message of the visualization. Thus, a memorable visualization is often also an effective one.",label,journals,data/full_texts\Beyond Memorability Visualization Recognition and Recall.txt,ieee
Binarization Methodology Applied to Digital Images of Petroglyphs from Cueva del Diablo of Manab-.pdf,Binarization Methodology Applied to Digital Images of Petroglyphs from Cueva del Diablo of,"In the present work, we developed and implemented a binarization technique for petroglyph images. This non-invasive and less expensive methodology is composed of a contrast enhancement algorithm, an anisotropic diffusion filter (denoising) and an edge detector. By applying this methodology, we successfully binarized some images of petroglyph of the Cueva del Diablo located at Manabí - Ecuador. The results of the developed methodology can be used to record the Ecuadorian archeological heritage and to perform an archeological and/or anthropological analysis.",label,Revista,data/full_texts\Binarization Methodology Applied to Digital Images of Petroglyphs from Cueva del Diablo of Manab-.txt,ieee
Can Computers Master the Art of Communication- A Focus on Visual Analytics.pdf,Can Computers Master the Art of,"14 May/June 2011 Published by the IEEE Computer Society 0272-1716/11/$26.00 © 2011 IEEE Visualization Viewpoints Editor: Theresa-Marie Rhyne Can Computers Master the Art of Communication? A Focus on Visual Analytics Klaus Mueller, Supriya Garg, Julia EunJu Nam, Tamara Berg, and Kevin T. McDonnell Stony Brook University V isual analytics seeks to conduct a discourse with the user through images, to stimulate curiosity and a penchant to decipher the unknown. Figure 1 depicts our view of the visual analytics process. The computer supports the user in this interactive analytical reasoning, constructing a formal model of the given data, with the end product being formatted knowledge constituting insight. Yet, validation and refi nement of this computational model of insight can occur only in the human domain expert’s mind, bringing to bear possibly unformatted knowledge as well as intuition and creative thought. So, it’s left to this human user to guide the computer in the formalization (learning) of more sophisticated models that capture what the human desires and what the computer currently believes about the data domain, perhaps with an associated confi dence level. In visual analytics, the computer uses images and text (and possibly sound and haptics) to exchange information with the user about its view of the domain model. Obviously, the better a communicator the computer is, the more assistance it will elicit from the user to help it refi ne the model. This in turn leads to this article’s topic—the need for the computer to master the art of interpersonal communication—that is, communication between it and the human analyst. The Elements of Interpersonal Communication Obviously, communication is present in many domains, not just in human behavior. Communication protocols are part of many human-made systems, such as computing and telecommunication, and they follow similar defi nitions. We focus here on human behavior because we aim for the computer to collaborate with the human user. The interpersonal-communication protocol1 (see Figure 2) always includes ■a sender—someone who sends a message verbally or nonverbally to someone else, ■a receiver—someone who receives the message, ■a message—information in some shape or form, ■noise—anything interfering with the exact replication of the transmitted information, ■feedback—verbal and nonverbal feedback elicited from the sender or receiver, ■replication—one person understanding what’s in another person’s mind, and ■understanding—the receiver’s approximation of what the message means to the sender. The interpersonal-communication framework has three components. Direct channels encompass information that the sender directly controls; they’re easily recognized by the receiver. Indirect channels aren’t always under the sender’s direct control and are usually recognized subconsciously by the receiver. The context is the conditions surrounding the communication from which the receiver can derive the message’s meaning. Communicators use intonation or pitch to emphasize words and passages. Brevity or economy of words leads to clear, effective presentations, whereas an aesthetic choice of words (good storytelling) can generate more interest, attention, and even fascination. Finally, personalization of word choice can target a specifi c receiver, just as the word choice can indicate a sender’s identity. Clearly, some people are more eloquent in these matters than others; the same is true for humanAuthorized licensed use limited to: b-on: UNIVERSIDADE DA BEIRA INTERIOR. Downloaded on June 06,2025 at 16:36:39 UTC from IEEE Xplore. Restrictions apply.",first_large_block,Publication not identified,data/full_texts\Can Computers Master the Art of Communication- A Focus on Visual Analytics.txt,ieee
Categorizing Chinese Glyphs Based on Liushu With Convolutional Neural Networks.pdf,Categorizing Chinese Glyphs Based on Liushu,"As one of the most polupar languages in the world and the only live language of ideograph, Chinese can be learned and mastered fast and easily if the learners have the knowledge of Chinese glyphs evolution, categorization and creation detailed in Liushu — the earliest systematic theory on the structure of Chinese characters. However, there is no valid and accurate way from machine learning to classify Chinese glyphs based on Liushu. In this paper, we used Convolutional Neural Networks to recognize and classify images of Chinese glyphs based on Liushu and achieved 94% accuracy in the Duti/Heyi binary classification, which can be used for classifying unclassified Chinese glyphs and assisting Chinese language education.",label,Journal,data/full_texts\Categorizing Chinese Glyphs Based on Liushu With Convolutional Neural Networks.txt,ieee
Chinese character recognition algorithms for intelligent transport systems.pdf,Chinese Character Recognition Algorithms for Intelligent Transport Systems,"Proceedings of the 2004 IEEE international Conference on Networking, Sensing & Control Taipei, Taiwan, March 21-23. 2004 Chinese Character Recognition Algorithms for Intelligent Transport Systems David AI-Dabass School of Computing & Technology Nottingham Trent University Nottingham, NG1 4BU, UK david.al-dabass@ntu.ac.uk Abstract - Automatic recognition of Chinese character signs in real time could ultimatelyform an importantpart ofstreet navigation in an intelligent transport system. In this paper the structure ofChinese characters is reviewed and seen to consist o f a 3-layer hierarchy of character, radical and stroke. F u z q possibilistic reasoning is put forward as an appropriate set ofalgorithmic tools to aid automatic recognition of these Characters. Associative memory artificial neural nemork algorithms form a suitable technique for realising these concepts. Implementing these techniques several issues are explored: vagueness ofradicals, their situation, position invariance, extraction order and shape. Extensive results are obtained to demonstrate the quality of the algorithms in dealing with the range of difliculties inherent in the problem. Kevwords: Chinese character recoenition. fuzzv Manling Ren Xerox Limited Technical Centre Welwyn Garden City Hertfordshire AL7 IHE, UK its direction is altered. Figure 2 (c) displays that the stroke ‘horizontal line’ has three different lengths in a character. Y- M r r m. m. mm.* (4 *I Figure 1. The historical development of Chinese characters I _ I t n a n d possibilistic reasoning, associate memory neural network, - topological structure. 1 Introduction , .. Early Chinese characters were mainly symbols and concepts of daily life as shown in Figure 1 (a). In order to express more complex ideas and concepts, pictographs were developed and combined to form ideographs for multiple meanings. These ideographs form some 90% of the total Chinese characters in current usage [ S C U ~ ~ ] . Most ideographs are made up of two components: (a) a radical, i.e. a pictograph before it becomes part of an ideograph, which indicates the classification of a character; and (b) a ‘phonetic’ symbol for partially aid several examples of the ideographs‘ development. Chinese characters possess three major features in their structures and quantities: a two-dimension (2-D) pictorial format, topological structure and a large vocabuliuy. pictographs that could also represent some abstract WV* (LtDhd- I*)- Figure 2.2-D Pictorial format of Chinese characters “rw p ‘Q 14: g &.‘ f + f f E l 4 i - 4 . , , . . ,. the pronunciation of a character. Figure 1 (b) shows I* - * l S m r C W (amm,mkBm Figure 3. Topological structure of Chinese characters The topological structure of a character means that the character is combined from or deconstructed into several components as shown in Figure 3 (a). The same In the 2-D pictorial format, basic components, Component may appear in different characters as illustrated in Figure 3 (b). A component Can be located at different positions in a character as shown in Figure 3 (c). For treatment ofthe structure Of Chinese Characters refer to [I1]. strokes, can be situated at any position of a character. ~i~~ 2 (a) shows hat fie stroke ‘horizontal line’ can be located at several places in a character. In Figure 2 (b), the stroke ‘horizontal line’ may change its identity once 0-7803-81 93-9/04/$17.00 02004 IEEE 795 Authorized licensed use limited to: b-on: UNIVERSIDADE DA BEIRA INTERIOR. Downloaded on June 06,2025 at 16:35:40 UTC from IEEE Xplore. Restrictions apply.",heuristic,Publication not identified,data/full_texts\Chinese character recognition algorithms for intelligent transport systems.txt,ieee
Classification of Traffic Signs The European Dataset.pdf,Classification of Traffic Signs: The European Dataset,"Classifying trafﬁc signs is an indispensable task for autonomous driving systems. Depending on the country, trafﬁc signs possess a wide variability in their visual appearance making it harder for classiﬁcation systems to succeed. Either the classiﬁer should be ﬁne-tuned or a bigger collection of images should be used. In this paper, we introduce a real-world European dataset for trafﬁc sign classiﬁcation. The dataset is composed of trafﬁc sings from six European countries: Belgium, Croatia, France, Germany, The Netherlands, and Sweden. It gathers publically available datasets and complements French trafﬁc signs with images acquired in Belfort with the equipped university autonomous vehicle. It is composed of more than 80 000 images divided in 164 classes that at the same time belong to four main categories following the Vienna Convention of Road Signs. We analyzed the intra variability of classes and compared the classiﬁcation performance of ﬁve convolutional neural network architectures.",label,Revue,data/full_texts\Classification of Traffic Signs The European Dataset.txt,ieee
Comparison of One-Stage and Two-Stage Strategies of Machine Learning Model for Rock Art Object Detection.pdf,Comparison of One-Stage and Two-Stage Strategies of Machine Learning Model for Rock Art Object,"Tracing rock art documentation has traditionally relied on manual identification by field specialists, which can be laborious and expensive. Integrating Artificial Intelligence (AI) and Machine Learning (ML) in archaeology has introduced new possibilities for enhancing rock art research. ML, a sub-field of AI, focuses on training models using data. At the same time, Deep Learning (DL) advances this approach with Artificial Neural Networks (ANN). Although ML methods have proven helpful for structured datasets, their application to rock art research remains largely unexplored. Object detection, a critical task in computer vision, involves predicting object locations and classes in images. State-of-the-art object detectors include twostage detectors like Faster R-CNN and Mask R-CNN, which generate region proposals for classification and bounding-box regression, achieving high accuracy at the expense of speed. Conversely, one-stage detectors like YOLO treat object detection as a regression problem, sacrificing some accuracy for improved speed. Striking a balance between accuracy and speed poses a challenge in rock art research. In this context, a promising approach involves training a deep neural network to regress the difficulty scores produced by human annotators. An experiment was conducted using both one-stage and two-stage detectors on large-scale rock art images. The study presents the results and reflects their implications for rock art research. The findings emphasize the potential of AI, ML, and advanced computer vision techniques to revolutionize the field of rock art research, offering enhanced capabilities for analyzing, preserving, and interpreting these invaluable archaeological artifacts. Through automation of the detecting process and a decrease in the need for manual labor, these technologies can increase efficiency and accuracy in rock art studies.",label,Journal,data/full_texts\Comparison of One-Stage and Two-Stage Strategies of Machine Learning Model for Rock Art Object Detection.txt,ieee
Complementary features for traffic sign detection and recognition.pdf,Complementary features for trafﬁc sign detection and recognition,"Trafﬁc Sign Detection and Recognition is an important component of intelligent transportation systems. It has captured the attention of the computer vision community for several decades. In this paper, we propose a new trafﬁc sign detection and recognition approach consisting of color segmentation, shape classiﬁcation and recognition stages. In the ﬁrst stage, the image is segmented using look-up tables and thresholding on the HSI color space. The second stage uses Distance to borders (DtBs) features and random forest classiﬁer to detect circular, triangular and rectangular shapes among the segmented ROIs. The last stage consists in the recognition of the detected signs. It is performed using Random Forest as classiﬁer and histogram of oriented gradients (HOG) together with local self-similarity (LSS) as features. Experimental results show that the proposed method achieves high recall, precision, and correct classiﬁcation accuracy ratios, and is robust to various adverse situations.",label,Publication not identified,data/full_texts\Complementary features for traffic sign detection and recognition.txt,ieee
Computational Thinking and AI Literacy A Gender-Based Analysis Among Early Learners.pdf,Computational Thinking and AI Literacy: A Gender-Based Analysis Among Early Learners,"While women remain underrepresented in STEM ﬁelds, our study reveals insights from an overlooked frontier: preschool classrooms. Despite decades of global initiatives aimed at increasing female participation in technology ﬁelds, genderinterest stereotypes continue to discourage girls from pursuing computer science careers. Our research challenges these barriers by implementing an innovative educational program integrating Computational Thinking (CT) and Artiﬁcial Intelligence (AI) literacy. Using a quasi-experimental pretest-posttest design with N=114 preschoolers, we assessed the impact of hands-on activities in algorithms, debugging, and control structures through the TechCheck questionnaire. Our ﬁndings challenge prevailing assumptions: while initial CT skills showed no gender disparity (boys M=58.8, girls M=53.95, p=,445), post-intervention results revealed girls signiﬁcantly outperforming boys (girls M=66.11, boys M=51.61, p=,022). On the contrary, AI literacy assessments showed complete gender parity (p=,995). These results suggest that early childhood education could be the key to dismantling gender barriers in computer science, demonstrating that when learning environments are equitable, girls not only match but can exceed traditional performance expectations. This study opens new pathways for understanding how early educational interventions can reshape the future of gender equity in STEM ﬁelds, beginning with our youngest learners.",label,Journal,data/full_texts\Computational Thinking and AI Literacy A Gender-Based Analysis Among Early Learners.txt,ieee
Computer Image Processing in Marine Resource Exploration.pdf,"its corre- data number, o r DN, value.  Typically,  8-bit  bi-","Pictographic data or imagery is commonly used in marine exploration. Preexisting image proces- sing techniques (software) similar to those used on imagery obtained from unmanned planetary ex- ploration were used to improve marine photography and side-scan sonar imagery. Features and details not visible by conventional photo processing methods were enhanced by f i l t e r i n g and noise re- moval on selected deep-sea photographs. Infor- mation gained near the periphery of photographs allows improved interpretation and facilitates construction of bottom mosaics where overlapping frames are available. Similar processing tech- niques were applied to side-scan sonar imagery, including corrections for slant range distortion, and along-track scale changes. The use of digital data processing and storage techniques greatly extends the quantity of information that can be handled, stored, and processed.",label,Publication not identified,data/full_texts\Computer Image Processing in Marine Resource Exploration.txt,ieee
Contactless operating table control based on 3D image processing.pdf,Contactless Operating Table Control based on 3D Image Processing,"Interaction with mobile consumer devices leads to a higher acceptance and afﬁnity of persons to natural user interfaces and perceptional interaction possibilities. New interaction modalities become accessible and are capable to improve human machine interaction even in complex and high risk environments, like the operation room. Here, manifold medical disciplines cause a great variety of procedures and thus staff and equipment. One universal challenge is to meet the sterility requirements, for which common contact-afﬂicted remote interfaces always pose a potential risk causing a hazard for the process. The proposed operating table control system overcomes this process risk and thus improves the system usability signiﬁcantly. The 3D sensor system, the Microsoft Kinect, captures the motion of the user, allowing a touchless manipulation of an operating table. Three gestures enable the user to select, activate and manipulate all segments of the motorised system in a safe and intuitive way. The gesture dynamics are synchronised with the table movement. In a usability study, 15 participants evaluated the system with a system usability score by Broke of 79. This states a high potential for implementation and acceptance in interventional environments. In the near future, even processes with higher risks could be controlled with the proposed interface, while interfaces become safer and more direct.",label,Journal,data/full_texts\Contactless operating table control based on 3D image processing.txt,ieee
Creating an API Ecosystem for Assistive Technologies Oriented to Cognitive Disabilities.pdf,Creating an API Ecosystem for Assistive Technologies Oriented to Cognitive Disabilities,"This paper presents the development and implementation of an API (Application Programming Interface) ecosystem designed to support the creation of assistive technologies for individuals with cognitive disabilities. Leveraging the principles of microservices and an API-centered approach, this ecosystem enhances collaboration among developers, reduces the cost of creating accessible tools, and provides highly adaptable and customizable applications. The study details architectural decisions, including the use of GraphQL for flexibility, and demonstrates the benefits of a service-based architecture for digital inclusion. Case studies illustrate the practical applications, showing how this approach facilitates the development and promotes more accessible digital solutions. The findings suggest that this ecosystem can significantly reduce the time and resources needed to develop assistive technologies, potentially accelerating their adoption in domains such as education, healthcare, and daily living aids. The modular and flexible nature of the API ecosystem supports the rapid development of personalized assistive tools, fosters collaborative development, and ensures cross-platform compatibility. These features contribute to creating robust solutions that address diverse user needs across various devices. The ongoing evolution of the API ecosystem, including the integration of advanced management frameworks, promises further innovation and collaboration in assistive technologies. Future work will focus on implementing a comprehensive API management infrastructure to enhance scalability, security, and monitoring capabilities, including the integration and validation of the ecosystem with third-party applications, and so demonstrating its versatility and scalability in real-world scenarios.",label,Publication not identified,data/full_texts\Creating an API Ecosystem for Assistive Technologies Oriented to Cognitive Disabilities.txt,ieee
Detection of Leaf Diseases Based on Ensemble Convolutional Neural Networks.pdf,Detection of Leaf Diseases Based on Ensemble,"The appearance of infections in plantations is the most common cause of crop losses in a variety of crops. Due to lower product quality and a narrower offering of items, these usually result in reduced income for farmers and higher pricing for consumers. Infection symptoms are mostly evident in plant foliage, hence they are widely used to detect and identify diseases. Combined with computational intelligence or soft computing approaches, image-processing tools can help farmers diagnose diseases more effectively. The disease in plants can be identified using traits gleaned from its symptoms. A strategy using an ensemble approach for providing more precise predictions by merging results through different machine learning algorithms. A group of models cooperating to address a shared issue. Ensemble learning uses the strength of a variety of techniques to overcome the particular weaknesses of each model, as opposed to depending just on one model to provide the optimal answer. The set ought to be less error-prone than a single model. Combining many iterations of a projected model is the process of bagging. Before being used, each model is independently trained using an average model. Bagging's objective is to reduce variance below that of any model. In this work, images of leaves comprising healthy class and diseases obtained from the Plant Village dataset are fed into three Convolutional Neural Network architectures namely LeNet, Inception, and VGG16 net achieve an accuracy of 95%, 92%, and 95% respectively and the ensemble model obtains an improvement of 3.5% matched to the standard method.",label,Journal,data/full_texts\Detection of Leaf Diseases Based on Ensemble Convolutional Neural Networks.txt,ieee
Developing a Software That Supports the Improvement of the Theory of Mind in Children With Autism Spectrum Disorder.pdf,Developing a Software That Supports the Improvement of the Theory of Mind in Children With Autism Spectrum Disorder,"The autism spectrum disorder (ASD) is a neurodevelopment disorder that affects areas related to social skills, such as social interaction, communication, planning everyday activities, imagination, and creativity, in a permanent way and since early ages. These skills are very important for everyday routine and should be developed to improve the life quality and integrate people with such disorders in the workplace. Nowadays, there are several applications that were developed to support children with ASD. However, most of those applications were developed in other languages or are aimed at different social contexts. Some of them are simply outdated. Due to the mentioned factors, an application for mobile devices was developed, aimed at supporting professionals that intend to develop skills related to empathy based on the mind theory, in children diagnosed with ASD. In the tests with experts, it was possible to obtain an adequate application both in terms of content and usability for them, allowing the user to feel comfortable with the application and that this can be integrated into their activities without problems. Using the usability tests, the results show that both the users managed to complete the tasks with some time differences. The application was validated by performing several tests with experts and ﬁnal users with promising results.",label,Revista,data/full_texts\Developing a Software That Supports the Improvement of the Theory of Mind in Children With Autism Spectrum Disorder.txt,ieee
Diagnosis of children-s vision problems through video games  Case study A visual acuity test - game tool.pdf,Diagnosis of children’s vision problems through,"Video games have grown in popularity due to their entertainment factor and, more recently, the possibility of their use in health care. Specifically, this review examines video game potential to allow the implementation of a subjacent diagnosis system, in the context of a study case: The optometric LEA vision test. A first approach exposes and discusses the context in which video games were considered relevant through the management of the engagement factor (considered as a key point in game adoption and will to participate). Since the case study focuses on the underlying capability to perform the diagnosis with a significant level of confidence in the children’s visual acuity, a reflection on the necessary information support system, knowledge base and learning capacity is made. The technical aspects required for the game implementation are then exposed, followed by performance considerations (which certainly have an impact on the end-user experience, and therefore on engagement and concentration). Finally, a conclusion underlines the most relevant aspects in the context of the study case.",label,Publication not identified,data/full_texts\Diagnosis of children-s vision problems through video games  Case study A visual acuity test - game tool.txt,ieee
Digital Range-Gated Surveillance Device without an Image Intensifier.pdf,"Digital Range-Gated Surveillance Device without an Image Intensifier Alexandr A. Golitsyn 1, 2, 3 , Natalia A. Seyfi 1, 3  1 Design and Technology Institute of Applied Microelectronics, Novosibirsk, Russia  2 Novosibirsk State University, Novosibirsk, Russia 3 Novosibirsk State Technical University, Novosibirsk, Russia",The paper describes range-gated surveillance device designed for search and rescue operations in limited visibility conditions. The device is based on interline CCD image sensor and range-gating method of the device is realized without use of an image intensifier. The paper provides the design features of the device. Also main specifications of it are given.,label,Journal,data/full_texts\Digital Range-Gated Surveillance Device without an Image Intensifier.txt,ieee
